Date,Price,Buy_Signal,Sell_Signal,DCA_Shares,DCA_Portfolio,DCA_Total_Invested,Put_Shares,Put_Cash,Put_Equity,Put_Total_Value,Put_Total_Invested,Total_Put_Premium,Total_Call_Premium,Total_Premium,Put_Assignments,Call_Assignments,Active_Put_Strike,Active_Call_Strike,Realized_Vol,HYSA_Rate_Annual,StdDev_100d
2002-07-08,1025.0,False,False,9.950144958029316,10198.89858198005,15000.0,9.711210146365044,1428.0890814843633,9953.99040002417,11382.079481508532,15000.0,1026.5931392112147,745.864572441333,1772.457711652548,7,2,716.2884836505918,1108.9793374642306,0.43177192969033434,1.725,154.35575817470408
2002-07-15,1030.0,False,False,10.14431971531087,10448.649306770196,15200.0,9.711210146365044,1656.2622116788195,10002.546450755995,11658.808662434814,15200.0,1026.5931392123262,773.7042361466175,1800.2973753589436,7,2,699.2484254366154,1115.098409377434,0.4351663283287948,1.755,165.3757872816923
2002-07-22,943.5,False,False,10.356296397875788,9771.165651395806,15400.0,9.711210146365044,1881.7488951202376,9162.526773095418,11044.275668215656,15400.0,1026.5931392123262,798.8064042228463,1825.3995434351723,7,2,596.073010532825,1020.1212826906225,0.42818040092985404,1.725,173.71349473358745
2002-07-29,961.5,False,False,10.564304718208602,10157.57898655757,15600.0,9.711210146365044,2109.195352171894,9337.32855572999,11446.523907901883,15600.0,1026.5931392123289,825.8198004775276,1852.4129396898566,7,2,607.903259885114,1044.348088445817,0.4527824187183889,1.72,176.798370057443
2002-08-05,863.5,False,False,10.795920236448325,9322.277124173128,15800.0,9.711210146365044,2334.4447700556843,8385.629961386216,10720.0747314419,15800.0,1026.5931392123289,850.5826770037005,1877.1758162160295,7,2,511.53394562213896,939.5830547474665,0.4624172837687801,1.69,175.98302718893052
2002-08-12,943.5,False,False,11.007896919013243,10385.950743088995,16000.0,0.0,11684.29169095603,0.0,11684.29169095603,16000.0,1051.4250186778836,850.5826770037005,1902.0076956815842,7,3,858.0034651301826,,0.4681026760516607,1.7,170.9930697396348
2002-08-19,1020.5,False,False,11.2038792806007,11433.558805853016,16200.0,0.0,11928.860874530354,0.0,11928.860874530354,16200.0,1093.3225307191065,850.5826770037005,1943.905207722807,7,3,939.2661826527495,,0.48156473027942026,1.6749999999999998,162.46763469450084
2002-08-26,1016.5,False,False,11.400632846759088,11588.743288730613,16400.0,0.0,12181.370049867073,0.0,12181.370049867073,16400.0,1143.116971750084,850.5826770037005,1993.6996487537845,7,3,940.2553620448133,,0.4817491601587267,1.725,152.48927591037346
2002-09-02,936.0,False,False,11.6143080604343,10870.992344566504,16600.0,12.902426403028473,289.86634409286955,12076.67111323465,12366.53745732752,16600.0,1143.1169717776695,887.7937537291263,2030.9107255067956,8,3,641.6660079283045,1022.4086479883783,0.48305670641636733,1.7349999999999999,147.16699603584777
2002-09-09,928.0,False,False,11.82982530181361,10978.07788008303,16800.0,12.902426403028473,526.864391418002,11973.451702010423,12500.316093428424,16800.0,1143.1169724044953,924.7252085908827,2067.842180995378,8,3,654.440957197608,1013.7631494277539,0.48357384315014984,1.71,136.779521401196
2002-09-16,911.5,False,False,12.049243842680314,10982.885762603106,17000.0,12.902426403028473,763.1947231599651,11760.561666360452,12523.756389520417,17000.0,1143.1169742949871,960.9334355063122,2104.0504098012993,8,3,648.8468556396202,995.5772265452965,0.4826615000112799,1.755,131.32657218018988
2002-09-23,849.5,False,False,12.284676450096441,10435.832644356928,17200.0,12.902426403028473,996.9244024297485,10960.611229372687,11957.535631802435,17200.0,1143.1169744680922,994.4898401819617,2137.606814650054,8,3,587.1440585769603,927.3639336312552,0.47988398067068405,1.6800000000000002,131.17797071151986
2002-09-30,837.0,False,False,12.523625076141842,10482.274188730722,17400.0,12.902426403028473,1227.770630282017,10799.330899334833,12027.10152961685,17400.0,1143.1169744775943,1025.1061009451155,2168.22307542271,8,3,577.1073922256999,907.541541336079,0.4434660145420852,1.695,129.94630388715004
2002-10-07,814.0,False,False,12.769325321842087,10394.23081197946,17600.0,12.902426403028473,1458.0318927490023,10502.575092065177,11960.60698481418,17600.0,1143.1169748048067,1055.0896051422656,2198.206579947072,8,3,579.2035528034355,883.1221560211368,0.4466523392611487,1.67,117.39822359828224
2002-10-14,907.5,True,False,12.989710996773217,11788.162729571695,17800.0,0.0,13132.392325636154,0.0,13132.392325636154,17800.0,1222.7332580464085,1055.0896051422656,2277.822863188674,8,4,855.0975533573162,,0.45904636217328176,1.6400000000000001,104.80489328536756
2002-10-21,980.0,True,False,13.193792629426278,12929.916776837752,18000.0,0.0,13454.950071809191,0.0,13454.950071809191,18000.0,1342.252831207054,1055.0896051422656,2397.3424363493195,8,4,935.0569302316821,,0.4668343260700706,1.705,89.88613953663574
2002-10-28,987.0,True,False,13.396426874613715,13222.273325243736,18200.0,0.0,13803.718331018501,0.0,13803.718331018501,18200.0,1487.9173501411333,1055.0896051422656,2543.006955283399,8,4,948.0071255052737,,0.4678966928171203,1.675,77.98574898945259
2002-11-04,1043.0,True,False,13.588181428784376,14172.473230222104,18400.0,0.0,14182.134071094764,0.0,14182.134071094764,18400.0,1663.3424145166837,1055.0896051422656,2718.4320196589492,8,4,1008.1586703574555,,0.4693843668676172,1.56,69.68265928508896
2002-11-11,980.5,True,False,13.792158991252505,13523.211890923081,18600.0,13.893357681239754,422.8648436703639,13622.43720645558,14045.302050125943,18600.0,1668.0336270265288,1095.3364616769522,2763.370088703481,9,4,948.3692912748625,1066.8356660303123,0.4626488354348954,1.19,64.26141745027512
2002-11-18,1050.0,True,False,13.982635181728694,14681.766940815129,18800.0,13.893357681239754,673.3821579583353,14588.025565301741,15261.407723260076,18800.0,1675.96676358801,1137.849761341352,2813.816524929362,9,4,1017.7413143988323,1141.0856851410251,0.45618881387710836,1.21,64.51737120233543
2002-11-25,1126.0,True,False,14.160255075156758,15944.44721462651,19000.0,13.893357681239754,927.9167904133284,15643.920749075964,16571.837539489294,19000.0,1686.2503379955517,1181.98813319109,2868.2384711866416,9,4,1090.5945401866636,1220.3043957226944,0.4412883327645031,1.27,70.810919626673
2002-12-02,1127.5,True,False,14.337638667174497,16165.687597239246,19200.0,13.893357681239754,1183.5732643573049,15664.760785597822,16848.334049955127,19200.0,1698.0797167694366,1225.659319177364,2923.739035946801,9,4,1088.1396302633484,1220.7018501921286,0.4359043099020237,1.245,78.72073947330335
2002-12-09,1015.0,True,False,14.534683002149867,14752.703247182115,19400.0,14.93005616020622,300.5369943608896,15154.007002609314,15454.543996970204,19400.0,1700.4301079543543,1268.1495365829724,2968.5796445373267,10,4,974.3101450859413,1099.4210702786218,0.43847449339739275,1.2149999999999999,81.37970982811741
